combined_symptoms,disease_encoded
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
muscle wasting patches in throat high fever extra marital contacts,1
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
vomiting sunken eyes dehydration diarrhoea,17
fatigue cough high fever breathlessness family history mucoid sputum,6
headache chest pain dizziness loss of balance lack of concentration,23
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,30
back pain weakness in limbs neck pain dizziness loss of balance,7
vomiting headache weakness of one body side altered sensorium,32
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,28
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,29
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,8
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,37
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,40
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,19
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,20
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,21
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,36
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,34
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
vomiting breathlessness sweating chest pain,18
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,39
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,26
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,25
joint pain neck pain knee pain hip joint pain swelling joints painful walking,31
muscle weakness stiff neck swelling joints movement stiffness painful walking,5
vomiting headache nausea spinning movements loss of balance unsteadiness,0
skin rash pus filled pimples blackheads scurring,2
burning micturition bladder discomfort foul smell of urine continuous feel of urine,38
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,35
skin rash high fever blister red sore around nose yellow crust ooze,27
itching skin rash nodal skin eruptions dischromic patches,15
continuous sneezing shivering chills watering from eyes,4
stomach pain acidity ulcers on tongue vomiting cough chest pain,16
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching skin rash stomach pain burning micturition spotting urination,14
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,33
